x,y,geometry,k_rechov,t_rechov,english_name
34.829595,32.124549,POINT (34.829595 32.124549),978,עיר שמש,IR SHEMESH
34.769791,32.085794,POINT (34.769791 32.085794),1241,פרי אליעזר,ELIEZER PERI
34.793835,32.126396,POINT (34.793835 32.126396),2106,אשכול לוי,LEVI ESHKOL
34.79172,32.115144,POINT (34.79172 32.115144),2244,פרלוק משה,PERLUK
34.794746,32.129372,POINT (34.794746 32.129372),2141,בן יוסף שלמה,BEN YOSEF
34.790929,32.053064,POINT (34.790929 32.053064),4017,התקוה,HATIKVA
34.764423,32.056325,POINT (34.764423 32.056325),3358,אולשן יצחק,OLSHAN YITZHAK
34.754669,32.047419,POINT (34.754669 32.047419),0,0,UKNOWN
34.834375,32.117173,POINT (34.834375 32.117173),903,"ק""ם",KAM
34.774021,32.084507,POINT (34.774021 32.084507),204,בן גוריון,BEN GURION
34.798987,32.11947,POINT (34.798987 32.11947),2083,אופנהיימר,OPPENHEIMER
34.778459,32.079655,POINT (34.778459 32.079655),308,מצפה,MITSPE
34.804793,32.046326,POINT (34.804793 32.046326),4186,בירנית,BIRANITH
34.772566,32.084892,POINT (34.772566 32.084892),204,בן גוריון,BEN GURION
34.766417,32.074044,POINT (34.766417 32.074044),27,הירקון,HAYARKON
34.769114,32.072367,POINT (34.769114 32.072367),88,פינסקר,PINSKER
34.802277,32.047897,POINT (34.802277 32.047897),4150,בושם,BOSEM
34.793809,32.045332,POINT (34.793809 32.045332),3689,מלקוש,MALKOSH
34.778464,32.046254,POINT (34.778464 32.046254),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.787969,32.050675,POINT (34.787969 32.050675),4017,התקוה,HATIKVA
34.773082,32.092033,POINT (34.773082 32.092033),27,הירקון,HAYARKON
34.790294,32.04528,POINT (34.790294 32.04528),3672,חירותנו,HERUTENU
34.80462,32.061353,POINT (34.80462 32.061353),635,לה גוארדיה,LA-GUARDIA
34.771362,32.076885,POINT (34.771362 32.076885),316,לוריא,LURIE
34.835656,32.11908,POINT (34.835656 32.11908),807,משמר הירדן,MISHMAR HAYARDEN
34.746335,32.041439,POINT (34.746335 32.041439),0,0,UKNOWN
34.787995,32.091706,POINT (34.787995 32.091706),478,פנקס דוד צבי,PINKAS
34.798088,32.066756,POINT (34.798088 32.066756),1115,1115,1115
34.769497,32.046809,POINT (34.769497 32.046809),2,הרצל,HERZL
34.771996,32.058173,POINT (34.771996 32.058173),35,לוינסקי,ELHANAN EIB LEVINSKY
34.807505,32.05399,POINT (34.807505 32.05399),4082,מנחם מדמון,MENAHEM MADMON
34.821005,32.118729,POINT (34.821005 32.118729),2123,אלתרמן נתן,ALTERMAN
34.751742,32.050312,POINT (34.751742 32.050312),0,0,UKNOWN
34.767475,32.060683,POINT (34.767475 32.060683),3374,אברבנאל,ABARVANEL
34.787879,32.07853,POINT (34.787879 32.07853),472,ויצמן,WEIZMAN
34.781092,32.058257,POINT (34.781092 32.058257),35,לוינסקי,ELHANAN EIB LEVINSKY
34.781422,32.077492,POINT (34.781422 32.077492),496,אבן גבירול,IBN GVIROL
34.776677,32.051241,POINT (34.776677 32.051241),3786,התנופה,HATNUPHA
34.783912,32.052491,POINT (34.783912 32.052491),3520,תדהר דוד,Tidhar David
34.797436,32.043126,POINT (34.797436 32.043126),4150,בושם,BOSEM
34.749321,32.041166,POINT (34.749321 32.041166),0,0,UKNOWN
34.788415,32.072664,POINT (34.788415 32.072664),54,בגין מנחם,BEGIN MENAHEM
34.798819,32.052305,POINT (34.798819 32.052305),4082,מנחם מדמון,MENAHEM MADMON
34.77697,32.08405,POINT (34.77697 32.08405),279,"אד""ם הכהן",ADAM HAKOHEN
34.773693,32.083026,POINT (34.773693 32.083026),296,זולא אמיל,ZOLA EMILE
34.777415,32.054973,POINT (34.777415 32.054973),400,הר ציון,HAR TSIYON
34.797715,32.093148,POINT (34.797715 32.093148),600,בבלי,BAVLI
34.772363,32.073112,POINT (34.772363 32.073112),83,ברנשטיין כהן,BERNSTEIN COHEN
34.752538,32.042346,POINT (34.752538 32.042346),3245,אור החיים,OR HAHAYIM
34.790678,32.049157,POINT (34.790678 32.049157),4038,פלטיאל,PALTIEL
34.792495,32.116761,POINT (34.792495 32.116761),2244,פרלוק משה,PERLUK
34.761752,32.040503,POINT (34.761752 32.040503),3710,קורקידי,QURQIDI
34.794859,32.070237,POINT (34.794859 32.070237),709,עין זיתים,EYN ZEYTIM
34.776523,32.062897,POINT (34.776523 32.062897),54,בגין מנחם,BEGIN MENAHEM
34.811414,32.04733,POINT (34.811414 32.04733),4225,קהילת ברזיל,BRAZIL COM
34.752824,32.045024,POINT (34.752824 32.045024),0,0,UKNOWN
34.76258,32.043718,POINT (34.76258 32.043718),3245,אור החיים,OR HAHAYIM
34.796738,32.123241,POINT (34.796738 32.123241),2141,בן יוסף שלמה,BEN YOSEF
34.793896,32.090301,POINT (34.793896 32.090301),594,ויסוצקי,WISSOTZKY
34.771207,32.079982,POINT (34.771207 32.079982),94,סירקין,SIRKIN
34.790805,32.052676,POINT (34.790805 32.052676),4017,התקוה,HATIKVA
34.777659,32.092291,POINT (34.777659 32.092291),197,נורדאו,NORDAU
34.798333,32.109305,POINT (34.798333 32.109305),985,ברודצקי,BRODETCKY
34.758543,32.0461,POINT (34.758543 32.0461),3245,אור החיים,OR HAHAYIM
34.798894,32.069049,POINT (34.798894 32.069049),700,נחלת יצחק,NAHALT YITZHAK
34.788515,32.123656,POINT (34.788515 32.123656),2040,2040,2040
34.807382,32.048803,POINT (34.807382 32.048803),4146,ששת הימים,SHESHET HAYAMIM
34.790948,32.052974,POINT (34.790948 32.052974),4017,התקוה,HATIKVA
34.787139,32.078201,POINT (34.787139 32.078201),458,זיו רבקה,ZIV
34.812916,32.046853,POINT (34.812916 32.046853),744,הטייסים,HATASSIM DERAKH
34.792943,32.063655,POINT (34.792943 32.063655),637,יד לבנים,YAD LABANIM
34.810499,32.051769,POINT (34.810499 32.051769),4155,4155,4155
34.780442,32.054544,POINT (34.780442 32.054544),375,יון מצולה,YEVEN METSULA
34.765723,32.063242,POINT (34.765723 32.063242),453,"איל""ן",ILAN
34.799446,32.05534,POINT (34.799446 32.05534),1010,בית אורן,BEYT OREN
34.755867,32.054,POINT (34.755867 32.054),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.787543,32.069454,POINT (34.787543 32.069454),54,בגין מנחם,BEGIN MENAHEM
34.755426,32.043569,POINT (34.755426 32.043569),3245,אור החיים,OR HAHAYIM
34.81488,32.113265,POINT (34.81488 32.113265),806,מבצע קדש,MIVZA KADESH
34.794561,32.090424,POINT (34.794561 32.090424),800,נמיר מרדכי,NAMIR
34.783864,32.090889,POINT (34.783864 32.090889),478,פנקס דוד צבי,PINKAS
34.826976,32.115445,POINT (34.826976 32.115445),831,בנימין מטודלה,BINYAMIN MITODELO
34.805124,32.048086,POINT (34.805124 32.048086),4082,מנחם מדמון,MENAHEM MADMON
34.767321,32.070602,POINT (34.767321 32.070602),88,פינסקר,PINSKER
34.814336,32.109418,POINT (34.814336 32.109418),804,רפידים,REFIDIM
34.822844,32.107339,POINT (34.822844 32.107339),2165,קיציס יוסף,KIZIS
34.782218,32.066049,POINT (34.782218 32.066049),1102,צקלג,TSIKLAG
34.84095,32.121856,POINT (34.84095 32.121856),2073,פילדלפיה,PHILADELPHIA
34.785233,32.058643,POINT (34.785233 32.058643),625,החותרים,HACHOTRIM
34.786086,32.09332,POINT (34.786086 32.09332),582,מתתיהו כהן גדול,MATITYAHU CHOEN GADO
34.82715,32.115455,POINT (34.82715 32.115455),831,בנימין מטודלה,BINYAMIN MITODELO
34.790046,32.047238,POINT (34.790046 32.047238),4038,פלטיאל,PALTIEL
34.781005,32.049875,POINT (34.781005 32.049875),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.770472,32.053203,POINT (34.770472 32.053203),3786,התנופה,HATNUPHA
34.833003,32.123732,POINT (34.833003 32.123732),891,אהוד,EHUD
34.779395,32.082271,POINT (34.779395 32.082271),275,הדסה,HADASSA
34.767207,32.076953,POINT (34.767207 32.076953),27,הירקון,HAYARKON
34.799193,32.116423,POINT (34.799193 32.116423),2090,פיליכובסקי,PILICHOVSKI
34.808245,32.047127,POINT (34.808245 32.047127),4146,ששת הימים,SHESHET HAYAMIM
34.804724,32.124259,POINT (34.804724 32.124259),946,משמר הגבול,MISHMAR HA-GEVUL
34.78788,32.113392,POINT (34.78788 32.113392),2106,אשכול לוי,LEVI ESHKOL
34.804697,32.050762,POINT (34.804697 32.050762),4082,מנחם מדמון,MENAHEM MADMON
34.781777,32.081473,POINT (34.781777 32.081473),544,בלוך דוד,BLOCH
34.749221,32.048896,POINT (34.749221 32.048896),0,0,UKNOWN
34.776231,32.094734,POINT (34.776231 32.094734),187,דיזנגוף,MEIR DIZENGOFF
34.831757,32.12849,POINT (34.831757 32.12849),2002,אבוקה,AVUQA
34.786348,32.082367,POINT (34.786348 32.082367),546,סוטין,SOUTINE
34.78094,32.063665,POINT (34.78094 32.063665),54,בגין מנחם,BEGIN MENAHEM
34.769485,32.054179,POINT (34.769485 32.054179),3374,אברבנאל,ABARVANEL
34.797273,32.095221,POINT (34.797273 32.095221),1251,הרצוג,HERZOG
34.788632,32.07321,POINT (34.788632 32.07321),54,בגין מנחם,BEGIN MENAHEM
34.795647,32.061561,POINT (34.795647 32.061561),1115,1115,1115
34.778069,32.09869,POINT (34.778069 32.09869),203,התערוכה,HATARUCHA
34.791056,32.051197,POINT (34.791056 32.051197),4017,התקוה,HATIKVA
34.786361,32.080995,POINT (34.786361 32.080995),677,פישמן מימון,FISHMAN-MAIMON
34.753152,32.046693,POINT (34.753152 32.046693),0,0,UKNOWN
34.778106,32.055534,POINT (34.778106 32.055534),35,לוינסקי,ELHANAN EIB LEVINSKY
34.769598,32.070564,POINT (34.769598 32.070564),60,יוחנן הסנדלר,YOHANAN HASANDLAR
34.824577,32.114614,POINT (34.824577 32.114614),831,בנימין מטודלה,BINYAMIN MITODELO
34.769788,32.08529,POINT (34.769788 32.08529),1241,פרי אליעזר,ELIEZER PERI
34.811156,32.053539,POINT (34.811156 32.053539),4155,4155,4155
34.758352,32.05808,POINT (34.758352 32.05808),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.789442,32.085156,POINT (34.789442 32.085156),472,ויצמן,WEIZMAN
34.777455,32.055046,POINT (34.777455 32.055046),400,הר ציון,HAR TSIYON
34.840878,32.117612,POINT (34.840878 32.117612),2029,בית אל,BEYT-EL
34.777918,32.084287,POINT (34.777918 32.084287),276,ויזל,WEISEL
34.780568,32.077557,POINT (34.780568 32.077557),496,אבן גבירול,IBN GVIROL
34.776671,32.064168,POINT (34.776671 32.064168),8,רוטשילד,ROTHSHILD
34.750813,32.046972,POINT (34.750813 32.046972),0,0,UKNOWN
34.782305,32.088537,POINT (34.782305 32.088537),496,אבן גבירול,IBN GVIROL
34.779219,32.071253,POINT (34.779219 32.071253),8,רוטשילד,ROTHSHILD
34.789834,32.102658,POINT (34.789834 32.102658),2106,אשכול לוי,LEVI ESHKOL
34.79471,32.060111,POINT (34.79471 32.060111),637,יד לבנים,YAD LABANIM
34.799619,32.049368,POINT (34.799619 32.049368),4150,בושם,BOSEM
34.791665,32.115216,POINT (34.791665 32.115216),2244,פרלוק משה,PERLUK
34.789203,32.103356,POINT (34.789203 32.103356),2106,אשכול לוי,LEVI ESHKOL
34.76128,32.063992,POINT (34.76128 32.063992),453,"איל""ן",ILAN
34.777601,32.048019,POINT (34.777601 32.048019),3786,התנופה,HATNUPHA
34.768293,32.054223,POINT (34.768293 32.054223),3374,אברבנאל,ABARVANEL
34.799428,32.101153,POINT (34.799428 32.101153),1250,קוסובסקי,KOSOVSKY
34.773566,32.095197,POINT (34.773566 32.095197),222,שער ציון,SHA'AR TSIYON
34.783678,32.072579,POINT (34.783678 32.072579),445,קפלן אליעזר,KAPLAN
34.818303,32.109105,POINT (34.818303 32.109105),819,הדר יוסף,HADAR YOSEF
34.795375,32.103886,POINT (34.795375 32.103886),941,לבנון חיים,LEBANON HAYIM
34.80749,32.110867,POINT (34.80749 32.110867),2057,שבט שמעון,SHEVET SHIM'ON
34.776811,32.060735,POINT (34.776811 32.060735),54,בגין מנחם,BEGIN MENAHEM
34.788261,32.051038,POINT (34.788261 32.051038),4017,התקוה,HATIKVA
34.769544,32.0438,POINT (34.769544 32.0438),3000,בן צבי,BEN ZVI
34.804549,32.105753,POINT (34.804549 32.105753),2056,שבט יוסף,SHEVET YOSEF
34.757685,32.050284,POINT (34.757685 32.050284),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.788994,32.128224,POINT (34.788994 32.128224),2040,2040,2040
34.774914,32.061619,POINT (34.774914 32.061619),8,רוטשילד,ROTHSHILD
34.783172,32.078603,POINT (34.783172 32.078603),462,צייטלין,ZEITLIN
34.764574,32.050114,POINT (34.764574 32.050114),3245,אור החיים,OR HAHAYIM
34.796926,32.123205,POINT (34.796926 32.123205),2141,בן יוסף שלמה,BEN YOSEF
34.758735,32.054518,POINT (34.758735 32.054518),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.830274,32.127599,POINT (34.830274 32.127599),2002,אבוקה,AVUQA
34.798468,32.076173,POINT (34.798468 32.076173),702,עמק ברכה,EMEK BERAKHA
34.808613,32.046953,POINT (34.808613 32.046953),4146,ששת הימים,SHESHET HAYAMIM
34.799042,32.04707,POINT (34.799042 32.04707),4150,בושם,BOSEM
34.773757,32.065605,POINT (34.773757 32.065605),14,"מזא""ה",MAZEH
34.825349,32.116457,POINT (34.825349 32.116457),831,בנימין מטודלה,BINYAMIN MITODELO
34.764264,32.058932,POINT (34.764264 32.058932),3358,אולשן יצחק,OLSHAN YITZHAK
34.777603,32.045529,POINT (34.777603 32.045529),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.790195,32.051828,POINT (34.790195 32.051828),4017,התקוה,HATIKVA
34.780024,32.04347,POINT (34.780024 32.04347),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.796494,32.067205,POINT (34.796494 32.067205),637,יד לבנים,YAD LABANIM
34.781667,32.060159,POINT (34.781667 32.060159),400,הר ציון,HAR TSIYON
34.7803,32.046644,POINT (34.7803 32.046644),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.815328,32.108113,POINT (34.815328 32.108113),804,רפידים,REFIDIM
34.770846,32.081546,POINT (34.770846 32.081546),25,בן יהודה,BEN-YEHUDA
34.774945,32.046851,POINT (34.774945 32.046851),3786,התנופה,HATNUPHA
34.769843,32.072828,POINT (34.769843 32.072828),83,ברנשטיין כהן,BERNSTEIN COHEN
34.775701,32.091726,POINT (34.775701 32.091726),244,מנדלשטם,SIMTAT MANDELSTAM
34.764533,32.062485,POINT (34.764533 32.062485),453,"איל""ן",ILAN
34.768319,32.070648,POINT (34.768319 32.070648),83,ברנשטיין כהן,BERNSTEIN COHEN
34.778224,32.051732,POINT (34.778224 32.051732),375,יון מצולה,YEVEN METSULA
34.786706,32.051829,POINT (34.786706 32.051829),3520,תדהר דוד,Tidhar David
34.750852,32.042008,POINT (34.750852 32.042008),0,0,UKNOWN
34.839145,32.123491,POINT (34.839145 32.123491),885,יהונתן,YEHONATAN
34.776121,32.07249,POINT (34.776121 32.07249),347,שפירא צבי הרמן,SHAPIRA HERMAN
34.78235,32.050436,POINT (34.78235 32.050436),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.763049,32.063949,POINT (34.763049 32.063949),453,"איל""ן",ILAN
34.75791,32.047945,POINT (34.75791 32.047945),3245,אור החיים,OR HAHAYIM
34.807721,32.123782,POINT (34.807721 32.123782),954,ברקאי שמואל,BARKAY
34.770793,32.054928,POINT (34.770793 32.054928),3374,אברבנאל,ABARVANEL
34.79223,32.051527,POINT (34.79223 32.051527),4038,פלטיאל,PALTIEL
34.798219,32.089679,POINT (34.798219 32.089679),451,הרב גורן שלמה,RABBI SHLOMO GOREN
34.76779,32.07287,POINT (34.76779 32.07287),88,פינסקר,PINSKER
34.800708,32.067021,POINT (34.800708 32.067021),700,נחלת יצחק,NAHALT YITZHAK
34.792623,32.12473,POINT (34.792623 32.12473),2106,אשכול לוי,LEVI ESHKOL
34.746889,32.047574,POINT (34.746889 32.047574),0,0,UKNOWN
34.756568,32.05312,POINT (34.756568 32.05312),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.772943,32.063416,POINT (34.772943 32.063416),364,הר סיני,HAR SINAI
34.777975,32.043172,POINT (34.777975 32.043172),3590,כוכבי יצחק,KOCHVEY YITZCHK
34.778527,32.08874,POINT (34.778527 32.08874),263,קורדובה,CORDOBA
34.825274,32.123835,POINT (34.825274 32.123835),2003,"יוגב כרמי ד""ר",YOGEV KARMI DR.
34.773902,32.060462,POINT (34.773902 32.060462),35,לוינסקי,ELHANAN EIB LEVINSKY
34.779482,32.061477,POINT (34.779482 32.061477),54,בגין מנחם,BEGIN MENAHEM
34.782007,32.054799,POINT (34.782007 32.054799),375,יון מצולה,YEVEN METSULA
34.80828,32.045098,POINT (34.80828 32.045098),4150,בושם,BOSEM
34.776193,32.041108,POINT (34.776193 32.041108),3000,בן צבי,BEN ZVI
34.760128,32.044831,POINT (34.760128 32.044831),3245,אור החיים,OR HAHAYIM
34.78324,32.092249,POINT (34.78324 32.092249),496,אבן גבירול,IBN GVIROL
34.768367,32.069528,POINT (34.768367 32.069528),14,"מזא""ה",MAZEH
34.791314,32.103982,POINT (34.791314 32.103982),800,נמיר מרדכי,NAMIR
34.771655,32.052803,POINT (34.771655 32.052803),3786,התנופה,HATNUPHA
34.760798,32.05928,POINT (34.760798 32.05928),3358,אולשן יצחק,OLSHAN YITZHAK
34.77999,32.090872,POINT (34.77999 32.090872),231,אלקלעי,ALKALA'I
34.764328,32.048398,POINT (34.764328 32.048398),3245,אור החיים,OR HAHAYIM
34.786988,32.113722,POINT (34.786988 32.113722),2106,אשכול לוי,LEVI ESHKOL
34.772243,32.080582,POINT (34.772243 32.080582),97,מאפו,MAPU
34.820774,32.112913,POINT (34.820774 32.112913),806,מבצע קדש,MIVZA KADESH
34.779184,32.054399,POINT (34.779184 32.054399),375,יון מצולה,YEVEN METSULA
34.841695,32.122461,POINT (34.841695 32.122461),901,הפרסה,HAPARSA
34.796113,32.048711,POINT (34.796113 32.048711),3689,מלקוש,MALKOSH
34.837452,32.114625,POINT (34.837452 32.114625),903,"ק""ם",KAM
34.777971,32.06656,POINT (34.777971 32.06656),14,"מזא""ה",MAZEH
34.775714,32.050002,POINT (34.775714 32.050002),3786,התנופה,HATNUPHA
34.770504,32.090451,POINT (34.770504 32.090451),243,ויתקין,VITKIN
34.784469,32.063182,POINT (34.784469 32.063182),1102,צקלג,TSIKLAG
34.765485,32.056442,POINT (34.765485 32.056442),3374,אברבנאל,ABARVANEL
34.787108,32.059313,POINT (34.787108 32.059313),537,המעפילים,HAMA'APILIM
34.75364,32.052961,POINT (34.75364 32.052961),0,0,UKNOWN
34.764901,32.056296,POINT (34.764901 32.056296),3358,אולשן יצחק,OLSHAN YITZHAK
34.808103,32.051955,POINT (34.808103 32.051955),4155,4155,4155
34.83699,32.111542,POINT (34.83699 32.111542),914,הגולן,HAGOLAN
34.793735,32.050088,POINT (34.793735 32.050088),4038,פלטיאל,PALTIEL
34.797768,32.050701,POINT (34.797768 32.050701),4082,מנחם מדמון,MENAHEM MADMON
34.794097,32.123657,POINT (34.794097 32.123657),2242,כהן אלי,ELI COHEN
34.824479,32.114051,POINT (34.824479 32.114051),831,בנימין מטודלה,BINYAMIN MITODELO
34.817993,32.109582,POINT (34.817993 32.109582),819,הדר יוסף,HADAR YOSEF
34.788876,32.064588,POINT (34.788876 32.064588),54,בגין מנחם,BEGIN MENAHEM
34.777674,32.068308,POINT (34.777674 32.068308),8,רוטשילד,ROTHSHILD
34.784356,32.083132,POINT (34.784356 32.083132),546,סוטין,SOUTINE
34.805791,32.058893,POINT (34.805791 32.058893),635,לה גוארדיה,LA-GUARDIA
34.791841,32.05099,POINT (34.791841 32.05099),4038,פלטיאל,PALTIEL
34.778684,32.088822,POINT (34.778684 32.088822),263,קורדובה,CORDOBA
34.822753,32.109274,POINT (34.822753 32.109274),827,קהילת יאסי,KEHILAT YASSI
34.828557,32.114854,POINT (34.828557 32.114854),835,תבואות הארץ,TEVUOT HA'ARETS
34.790638,32.085696,POINT (34.790638 32.085696),571,חברה חדשה,"""HEVRA HADASHA"""
34.788037,32.072763,POINT (34.788037 32.072763),54,בגין מנחם,BEGIN MENAHEM
34.788101,32.081591,POINT (34.788101 32.081591),665,חכמי קירואן,HAKHME QAIRUAN
34.766715,32.060506,POINT (34.766715 32.060506),3374,אברבנאל,ABARVANEL
34.784397,32.054518,POINT (34.784397 32.054518),375,יון מצולה,YEVEN METSULA
34.788008,32.069425,POINT (34.788008 32.069425),54,בגין מנחם,BEGIN MENAHEM
34.748779,32.041306,POINT (34.748779 32.041306),0,0,UKNOWN
34.795396,32.05745,POINT (34.795396 32.05745),647,לוחמי גליפולי,LOHAME GALLIPOLI
34.792697,32.112498,POINT (34.792697 32.112498),2149,האמוראים,HA-AMORAIM
34.797944,32.063293,POINT (34.797944 32.063293),1115,1115,1115
34.801772,32.061474,POINT (34.801772 32.061474),635,לה גוארדיה,LA-GUARDIA
34.803876,32.064043,POINT (34.803876 32.064043),635,לה גוארדיה,LA-GUARDIA
34.760705,32.063749,POINT (34.760705 32.063749),453,"איל""ן",ILAN
34.806765,32.108892,POINT (34.806765 32.108892),2057,שבט שמעון,SHEVET SHIM'ON
34.769582,32.044219,POINT (34.769582 32.044219),3000,בן צבי,BEN ZVI
34.802747,32.044856,POINT (34.802747 32.044856),0,0,UKNOWN
34.753664,32.053695,POINT (34.753664 32.053695),0,0,UKNOWN
34.828421,32.115069,POINT (34.828421 32.115069),835,תבואות הארץ,TEVUOT HA'ARETS
34.785871,32.082208,POINT (34.785871 32.082208),546,סוטין,SOUTINE
34.795746,32.048373,POINT (34.795746 32.048373),3689,מלקוש,MALKOSH
34.808399,32.047022,POINT (34.808399 32.047022),4146,ששת הימים,SHESHET HAYAMIM
34.750257,32.047778,POINT (34.750257 32.047778),0,0,UKNOWN
34.762534,32.061374,POINT (34.762534 32.061374),3358,אולשן יצחק,OLSHAN YITZHAK
34.775805,32.092567,POINT (34.775805 32.092567),197,נורדאו,NORDAU
34.753989,32.041267,POINT (34.753989 32.041267),3245,אור החיים,OR HAHAYIM
34.798829,32.098448,POINT (34.798829 32.098448),1250,קוסובסקי,KOSOVSKY
34.771445,32.088317,POINT (34.771445 32.088317),1241,פרי אליעזר,ELIEZER PERI
34.767935,32.053398,POINT (34.767935 32.053398),3374,אברבנאל,ABARVANEL
34.777571,32.092698,POINT (34.777571 32.092698),214,יחזקאל,YECHEZKE'EL
34.79611,32.049034,POINT (34.79611 32.049034),3689,מלקוש,MALKOSH
34.807486,32.050663,POINT (34.807486 32.050663),4146,ששת הימים,SHESHET HAYAMIM
34.784819,32.079196,POINT (34.784819 32.079196),462,צייטלין,ZEITLIN
34.826491,32.12725,POINT (34.826491 32.12725),2003,"יוגב כרמי ד""ר",YOGEV KARMI DR.
34.821531,32.10735,POINT (34.821531 32.10735),2165,קיציס יוסף,KIZIS
34.752251,32.053213,POINT (34.752251 32.053213),0,0,UKNOWN
34.772364,32.065158,POINT (34.772364 32.065158),364,הר סיני,HAR SINAI
34.794455,32.053561,POINT (34.794455 32.053561),647,לוחמי גליפולי,LOHAME GALLIPOLI
34.825207,32.112047,POINT (34.825207 32.112047),831,בנימין מטודלה,BINYAMIN MITODELO
34.790504,32.107541,POINT (34.790504 32.107541),2112,האוזנר דב,HAUSNER
