english_name,count
BRANDEIS,54
MEYZAN,54
HOOFIEN,54
BE'ERI,53
HAKIM ELIYYAHU,52
YESHA'YAHU,52
POLD,52
HAT'EENA,51
ROSEN,50
MEGIDDO,50
FEINSTEIN,50
BONEY HAIR,50
EMEK BERAKHA,50
AMSTERDAM,50
RODENSKY,49
ROSANES,48
PERLSTEIN YAACOB & PESSIA,48
HILL,48
MODIGLIANI,48
AYALON NORTH,48
MARGOLIN,47
KARPEL LIPPE,47
TORCZYNER,46
NAHALAL,46
YOQNE'AM,45
KASHANI,45
ZIRELSON,44
BARKAY,44
TSAHAL,43
BUKSPAN,43
975,42
KEHILAT BRISK,42
ELDAD HADANI,41
LIESIN,41
SHIM'ON HATARSI,41
ZAMENHOFF,40
DE-HAAS,40
BLOCH,40
YEHUDA HANASI,39
EMANUEL HAROMI,39
HEH B'IYAR,38
HAKHME QAIRUAN,38
MOZES,38
DREZNER DOV,38
TAMIR SHMUEL,38
FRISHMAN,37
YEHEZKEL DANIN,37
OPPENHEIMER,37
HATZIONUT,37
SZOLD HENRIETTA,36
REVADIM,36
OLEY HAGARDOM,36
HARUGEY MALKHOT,36
MINTZ,35
ZOLA EMILE,35
HA-AMORAIM,35
AMIRIM,34
QEHILAT KOVNA,34
912,34
SHAY,33
UNIKOWSKY PERETZ,33
REMBERANDT,33
SOKOLOV,33
HAKALIR,33
HA-MELEKH GEORGE,32
NISSON KAHAN,32
AKIVA ARYE,32
GOFER,31
HAME'LIITS,30
2184,30
YEHOSHU'A BEN NUN,30
TOSEFTA,30
ASHTORI HA-PARHI,29
AHARONOVITCH,29
GRUNER DOV,29
DUBNOV,29
SIRKIN,29
NEMIROVER,29
SHA'AR HAGAI,29
KFAR YONA,28
SIMTAT YELAG,28
LEVITAN,28
ROPHE HAMACHTAROT,28
YEHUDA HAMAKABI,28
GEIGER,28
MAL'AKHI,27
LOUIS LIPSKY,27
LOUIS MARSHAL,27
TIROSH,27
ZIKHRON YA'AKOV,26
KEHILAT KIEV,26
YONATAN HAVAFSI,26
KLAUSNER,26
SPINOZA,26
SIMTAT MANDELSTAM,26
REINESS,26
SHEVET SHIM'ON,26
ZELIG,26
ONKELOS,26
SHIR,25
WEISEL,25
YECHEZKE'EL,25
HAR'EL,25
HATANYA,25
ADAM HAKOHEN,24
Chelouche Moshe,24
BEYT HORON,24
HISH,24
EPSTEIN,24
HA-MITNADV,24
MEZADA,23
YAD HAMMA'AVIR,23
BERGSON,22
HA-SAVORAIM,22
HAPHETZ HAYIM,22
HA-TANAIM,22
GOTTLIEB,21
HA-BARZEL,21
RAMOT NAFTALI,21
CORDOBA,21
BE'ER TUVIYA,20
ZANGWILL,20
SHOR,20
HASHOSHANIM,20
BEDOLAH,19
ARNON,19
HAR NEVO,19
SALVADOR,19
MARK ANTOKOLSKI,19
BRODIE,18
ROZIN YEHOSHUA,18
GRIZIM,18
SHOLEM ASCH,18
MISHMAR HA-GEVUL,18
615,18
ANDERSEN,17
MENDELI MOKHER SFARI,17
WEIZZ,17
LURIE,17
HABASHAN,17
SHULAMIT,17
MATITYAHU CHOEN GADO,16
MANGER,16
USHA,16
YA'EL,16
TCHERNIKHOVSKY,15
PETAHYA MEREGENSBURG,15
FISHMAN-MAIMON,15
OFIR,14
BASEL,14
OFAKIN,14
MIVTAHIM,14
OMRI,14
HASHLAH,14
BARAK,14
RANAK,13
ALKALA'I,13
2233,13
SHEVET RE'UVEN,13
HAREKHESH,13
PRAG,13
PASTERNAK,13
AMOS,13
KRAUS,13
Basok Chaim M. Dr,12
ELQAHI,12
ALCHERIZI,12
HEL MISHMAR,12
ALTERMAN,12
YO'EL,12
PERI MEGADIM,11
EYN HAROD,11
TEL HAY,11
TISHREY,11
BAT CHEN,11
MITSPE,11
BYRON,10
HATSOR,10
SHA'AR TSIYON,10
YEHOSHUA HANKIN,10
HELSINKI,10
GRAETZ,10
ARVEY NAHAL,9
GLUSKIN,9
KEHILLAT CHERNOVITZ,9
GEZ,9
HIRSCHENBERG,9
STRICKER,9
MIRYAM HAHASH'MON'IT,9
MAHARAL,8
CHAGAI,8
"""HEVRA HADASHA""",8
SHALOM ALEICHEM,8
FILON,8
HAMISHMAR HA'EZERAHI,8
CAHANEMSTEIN,8
OGARIT,8
LIBERMAN,8
SHEVET ASHER,8
HAMME'IRI,7
SANEHEDRIN,7
ELIYAHU BACHUR,7
ZIMAN,7
HAGIL'AD,7
YITZHAK HAYOTMAN,7
HAKNESET HAGDOLA,7
SHLOMO HAMELEKH,7
SHFEYA,7
KOROLENKO,7
BEN SARUK,7
YOSEPH,6
TASHAH,6
HASHOFET NOFECH,6
Kehillat Pozna,6
PU'A,6
ARAZI,6
BUBLIK,6
HOVEVEY TSIYON,6
2172,5
IBESHITZ,5
MAPU,5
ARBA ARATSOT,5
BELKIND,5
NATHAN HEHAKHAM,5
LACHOWER,5
1279,4
AM YISRA'EL HAY,4
EYN GEDI,4
EYN DOR,4
SHAI.K.OPHIR,4
HANOTER,4
SHEVET GAD,4
PATAI,4
TABENKIN,3
MAGSHIMIM,3
OVADYA HANAVI,3
MISHMAR HAYARDEN SIM,3
AHAVAT TSIYON,3
RAHEL,3
MENDELSO'HN,2
1221,2
JOST,2
SHEVET YISAS'CHAR,1
